,0,1
0,8.702095,11.684474
1,10.867067,10.101264
2,10.95611,12.703331
3,8.6654005,10.470191
4,7.509627,11.617214
5,7.9351454,13.064888
6,10.375917,12.611012
7,11.264209,14.255694
8,7.415133,10.511404
9,8.565624,10.547984
10,9.309904,10.391275
11,10.86854,11.862816
12,10.884171,10.9818535
13,11.710455,13.192576
14,11.586544,13.4697695
15,9.043529,10.723493
16,10.71799,12.471869
17,7.6890745,11.451024
18,11.1324415,10.363262
19,11.041248,10.988323
20,10.617323,13.52119
21,11.352583,14.030473
22,7.3856463,10.05228
23,10.996386,10.3223295
24,10.12184,13.357795
25,12.421345,12.762172
26,11.873664,11.905131
27,10.973871,11.107694
28,10.971176,13.542073
29,11.447334,10.941387
30,8.550241,11.78654
31,10.343722,10.919582
32,12.05158,13.282402
33,12.484458,13.238226
34,10.302955,12.379692
35,11.569727,13.908582
36,10.73532,10.016206
37,12.185311,12.401605
38,10.793926,12.64215
39,11.11728,13.334985
40,10.464299,10.980114
41,10.100478,13.376141
42,10.540079,14.041744
43,11.288226,12.180165
44,11.079973,13.6686535
45,11.663861,12.195382
46,11.046324,14.041056
47,9.8311825,13.475272
48,9.161477,12.8553915
49,10.764771,9.927785
50,10.514486,12.957881
51,11.271026,12.372966
52,11.280555,13.143795
53,11.126436,12.832108
54,10.356316,12.341663
55,7.636643,11.520486
56,12.397765,12.206499
57,12.4082575,12.988562
58,11.740084,13.335073
59,11.076147,14.248443
60,11.038235,10.610283
61,5.9839053,9.649895
62,7.6058865,9.86848
63,10.721059,12.897121
64,11.179047,12.277798
65,9.971172,13.210937
66,5.033705,9.565216
67,9.227299,10.628127
68,5.482023,10.1426
69,7.19827,12.85369
70,7.744485,11.085801
71,7.2517223,9.846261
72,6.810027,11.143921
73,8.03748,11.297384
74,7.8876314,11.177017
75,6.291301,10.311663
76,7.422108,10.008781
77,7.401244,11.002329
78,6.097043,12.147265
79,6.4290056,11.980934
80,5.91769,12.024668
81,7.8342237,13.124031
82,6.2789693,10.621271
83,4.7194843,10.431299
84,10.578006,10.39439
85,10.066826,10.614626
86,9.028033,12.792555
87,7.995055,13.27725
88,8.171399,11.443759
89,10.212698,10.679223
90,6.582795,9.642761
91,10.332875,10.643648
92,9.029005,11.57647
93,8.603822,12.422511
94,11.280038,10.548341
95,8.245004,11.347071
96,7.288696,12.021504
97,7.8177,11.847315
98,10.175977,12.126728
99,9.906342,13.533869
100,10.320345,11.409947
101,7.453166,9.974132
102,10.700913,11.099977
103,10.777357,9.893426
104,8.515001,11.96199
105,10.582032,10.704379
106,11.157477,14.103677
107,11.583263,13.722119
108,8.333304,12.623418
109,10.880227,14.163222
110,10.205593,10.8909445
111,4.976654,9.614665
112,11.125584,11.479062
113,8.384802,10.622131
114,10.128143,13.436111
115,8.09879,11.237123
116,11.382723,11.430282
117,11.346541,12.042979
118,10.078674,11.042752
119,7.729042,13.053862
120,11.956368,13.346589
121,11.550673,11.884483
122,11.196088,11.399947
123,11.99841,13.572537
124,7.8572454,12.537297
125,11.8979225,12.136137
126,10.765173,10.712607
127,12.2316,12.8267765
128,11.88431,13.902239
129,10.642688,11.139879
130,11.889115,13.728325
131,7.387291,10.142303
132,8.70003,13.331039
133,12.435174,12.234407
134,8.934356,11.489435
135,10.548828,12.846688
136,5.171378,9.440978
137,10.865288,11.061679
138,10.360181,11.933885
139,10.967468,11.656119
140,11.26414,13.380978
141,7.059293,11.027179
142,7.244362,11.338728
143,10.763017,13.115359
144,10.622761,12.85222
145,7.6551695,11.614494
146,8.157355,13.309029
147,12.574574,12.85437
148,11.99809,12.128147
149,10.422993,11.474345
150,11.2514305,11.928625
151,5.26486,9.984731
152,10.951507,12.236297
153,7.9423203,13.498487
154,12.507366,13.285913
155,10.160417,12.927141
156,5.518632,9.752694
157,12.18827,13.18941
158,11.626223,12.455476
159,12.356303,12.937181
160,9.12356,10.880051
161,8.016865,11.728787
162,4.958538,10.042129
163,11.025543,13.979341
164,7.4333673,11.374722
165,7.1320605,10.534603
166,10.726641,12.378929
167,9.677979,12.841469
168,10.555792,13.566538
169,8.363467,11.34375
170,9.326702,10.516536
171,12.516485,13.062028
172,11.977013,12.799781
173,6.4413724,10.318499
174,12.35758,12.485936
175,4.777424,9.978553
176,11.437498,13.301869
177,10.1049595,13.287331
178,11.527078,13.832747
179,8.212346,13.337244
180,10.609141,13.38596
181,8.21391,11.2947235
182,7.786798,12.617131
183,5.5069265,10.480696
184,4.938881,9.794816
185,10.726127,13.161456
186,11.795256,14.064025
187,6.3681407,10.459572
188,7.8625393,12.088544
189,4.717054,10.297534
190,10.436373,13.077907
191,6.8214645,10.417774
192,6.874627,10.845494
193,7.5023665,10.527445
194,6.6164846,12.137964
195,10.541978,14.1659155
196,6.6440334,12.04379
197,9.017024,12.72589
198,4.805253,10.529758
199,4.656213,10.304082
200,7.0390487,11.243939
201,8.2009535,13.44828
202,4.640925,10.091056
203,8.135434,13.352301
204,5.850006,12.067435
205,5.879327,11.051761
206,5.721456,10.241691
207,7.6733813,13.162592
208,7.919078,10.710503
209,6.1131105,12.104774
210,7.6702547,12.586028
211,5.211425,10.170936
212,5.9815264,11.019589
213,5.4083815,10.257403
214,6.021787,10.887252
215,7.413946,12.523697
216,5.6006207,10.914675
217,5.572246,11.428289
218,6.962315,10.654963
219,5.9424014,11.822395
220,4.7418895,10.456706
221,6.8789463,11.210893
222,5.4761753,10.748298
223,5.0325027,10.75822
224,6.298691,10.336398
225,6.1086693,10.305779
226,5.669297,11.529651
227,5.7358804,9.777773
228,5.0886345,10.851053
229,5.373684,10.83976
230,5.8723717,10.68103
231,5.3035445,10.663646
232,5.357854,11.215028
233,4.76252,10.239186
234,6.1035933,10.302113
235,5.8360167,11.24851
236,5.154743,11.037232
237,5.32634,11.14423
238,6.281365,10.724104
239,6.045797,11.783137
240,5.8250904,11.627313
241,5.9034104,11.767043
